r1,weight
input.InexpC2.gz,4.859636904813299
input.InexpC2QE.gz,5.07449171746066
input.MU03rob01.gz,4.485767258744658
input.MU03rob02.gz,4.842176986265062
input.MU03rob04.gz,4.982316869359895
input.MU03rob05.gz,4.660390691972308
input.UIUC03Rd1.gz,3.4507690226229144
input.UIUC03Rd2.gz,3.5551039245813145
input.UIUC03Rd3.gz,3.4572021093509804
input.UIUC03Rt1.gz,2.9920511902897733
input.UIUC03Rtd1.gz,3.093550365650189
input.aplrob03a.gz,6.305993567174705
input.aplrob03b.gz,4.612027453876949
input.aplrob03c.gz,5.517768138760917
input.aplrob03d.gz,5.743318218600045
input.aplrob03e.gz,4.639051139477103
input.fub03IeOLKe3.gz,5.383678291847589
input.fub03InB2e3.gz,5.127062465878037
input.fub03InOLe3.gz,5.36795088461722
input.fub03IneOBu3.gz,4.952792030438026
input.fub03IneOLe3.gz,5.347912300715764
input.humR03d.gz,4.722781801675016
input.humR03de.gz,5.399202334238718
