r1,weight
input.InexpC2.gz,6.887008865731875
input.InexpC2QE.gz,7.1614290686595945
input.MU03rob01.gz,6.431027686344745
input.MU03rob02.gz,6.782103973905603
input.MU03rob03.gz,6.48180416781347
input.MU03rob04.gz,6.931894207047131
input.MU03rob05.gz,6.5666554690505405
input.NLPR03vb10.gz,6.3902039639695465
input.NLPR03vb25.gz,6.7723674353748144
input.NLPR03vb50.gz,6.867433471219626
input.NLPR03w16.gz,6.420555366926535
input.NLPR03w49.gz,6.64730730771235
input.UIUC03Rd1.gz,7.166194042000702
input.UIUC03Rd2.gz,7.131461797602172
input.UIUC03Rd3.gz,7.291298465090741
input.UIUC03Rt1.gz,6.613189509210509
input.UIUC03Rtd1.gz,7.402089844809963
input.aplrob03a.gz,8.157829502248541
input.aplrob03b.gz,7.639943635213534
input.aplrob03c.gz,7.535448112220942
input.aplrob03d.gz,7.7482551105892465
input.aplrob03e.gz,7.74214672332639
input.fub03IeOLKe3.gz,7.190049432749857
input.fub03InB2e3.gz,7.36426212455794
input.fub03InOLe3.gz,7.327508006156681
input.fub03IneOBu3.gz,6.977545257190043
input.fub03IneOLe3.gz,7.165139931161652
input.humR03d.gz,7.0562113661779575
input.humR03dc.gz,6.2843908511501825
input.humR03de.gz,7.401246193906949
