r1,weight
input.InexpC2.gz,6.934025164984031
input.InexpC2QE.gz,7.2372103454125165
input.MU03rob01.gz,6.505488739776239
input.MU03rob02.gz,6.858455213324234
input.MU03rob03.gz,6.578600762806113
input.MU03rob04.gz,6.989001728685398
input.MU03rob05.gz,6.643243163141305
input.NLPR03vb10.gz,6.321156141450234
input.NLPR03vb25.gz,6.506145080408089
input.NLPR03vb50.gz,6.682230645944278
input.NLPR03w16.gz,6.3034971740422465
input.NLPR03w49.gz,6.527657560533707
input.UIUC03Rd1.gz,7.237753469065464
input.UIUC03Rd2.gz,7.221831416025212
input.UIUC03Rd3.gz,7.386273375880289
input.UIUC03Rt1.gz,6.791204136449814
input.UIUC03Rtd1.gz,7.507317002660196
input.aplrob03a.gz,8.169442225148616
input.aplrob03b.gz,7.536938166910051
input.aplrob03c.gz,7.631786391629786
input.aplrob03d.gz,7.838562504601871
input.aplrob03e.gz,7.579605905461539
input.fub03IeOLKe3.gz,7.232284481573482
input.fub03InB2e3.gz,7.383204069106511
input.fub03InOLe3.gz,7.358619133662385
input.fub03IneOBu3.gz,7.0245113736191485
input.fub03IneOLe3.gz,7.189948312665344
input.humR03d.gz,7.146419670812499
input.humR03dc.gz,6.0653846884917035
input.humR03de.gz,7.585162486325476
