r1,weight
input.InexpC2.gz,4.991018251861811
input.InexpC2QE.gz,5.0905323219803975
input.MU03rob01.gz,4.848951698033762
input.MU03rob02.gz,5.032921940193715
input.MU03rob04.gz,5.223981448348761
input.MU03rob05.gz,4.9269022201328765
input.UIUC03Rd1.gz,5.104517677721484
input.UIUC03Rd2.gz,5.094473880997475
input.UIUC03Rd3.gz,5.185336273283879
input.UIUC03Rt1.gz,4.951687014154147
input.UIUC03Rtd1.gz,5.30899604358854
input.aplrob03a.gz,5.776287620801673
input.aplrob03b.gz,5.348222229744316
input.aplrob03c.gz,5.340979878075962
input.aplrob03d.gz,5.427440947846856
input.aplrob03e.gz,5.286705144637821
input.fub03IeOLKe3.gz,5.232338662246805
input.fub03InB2e3.gz,5.188844429163379
input.fub03InOLe3.gz,5.277923924757616
input.fub03IneOBu3.gz,5.0553286815775555
input.fub03IneOLe3.gz,5.205919299263947
input.humR03d.gz,5.182410788996697
input.humR03de.gz,5.418561147051434
